@id,label,type,notation,wimsEaAreaCode,sameAs,hasSubOrganization,hasSubOrganization.label
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-12,Greater Manchester Merseyside and Cheshire,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,4-12,3,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/4-12-P|http://environment.data.gov.uk/water-quality/id/ea-subarea/4-12-M|http://environment.data.gov.uk/water-quality/id/ea-subarea/4-12-L|http://environment.data.gov.uk/water-quality/id/ea-subarea/4-12-Z|http://environment.data.gov.uk/water-quality/id/ea-subarea/4-12-9,ECMAS SAMPLING (GTR MANCS MERSEY AND CHES)|MANCHESTER|Unknown|MERSEYSIDE|CHESHIRE
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,Kent and South London,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,10-38,H|E,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-D|http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-E|http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-Z|http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C|http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-A|http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-9,L&W SOUTH LONDON - KSL|L&W EAST KENT AND STOUR - KSL|L&W MEDWAY AND ROTHER - KSL|KENT & SOUTH LONDON DEFAULT - SUB AREA UNKNOWN|ALL SUB-AREAS - KSL|ECMAS SAMPLING (KENT AND SOUTH LONDON)
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-2,Essex Norfolk and Suffolk,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,1-2,K,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/1-2-A|http://environment.data.gov.uk/water-quality/id/ea-subarea/1-2-9|http://environment.data.gov.uk/water-quality/id/ea-subarea/1-2-X|http://environment.data.gov.uk/water-quality/id/ea-subarea/1-2-H|http://environment.data.gov.uk/water-quality/id/ea-subarea/1-2-M,ALL EASTERN SUB AREAS|ESSEX TEAM SUB AREA|ECMAS SAMPLING (EASTERN)|NORFOLK & SUFFOLK TEAM SUB AREA|UNKNOWN (EASTERN)
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/6-28,Wessex,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,6-28,C,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/6-28-1|http://environment.data.gov.uk/water-quality/id/ea-subarea/6-28-9|http://environment.data.gov.uk/water-quality/id/ea-subarea/6-28-A|http://environment.data.gov.uk/water-quality/id/ea-subarea/6-28-Z|http://environment.data.gov.uk/water-quality/id/ea-subarea/6-28-2,ECMAS SAMPLING (WESSEX)|WESSEX DEFAULT|WEST WESSEX|ALL SUB AREAS|EAST WESSEX
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-36,Hertfordshire and North London,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,10-36,J,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/10-36-O|http://environment.data.gov.uk/water-quality/id/ea-subarea/10-36-A,L&W HERTS & NORTH LONDON|ALL SUB-AREAS - NET
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/2-30,Derbyshire Nottinghamshire and Leicestershire,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,2-30,6,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/2-30-C|http://environment.data.gov.uk/water-quality/id/ea-subarea/2-30-D|http://environment.data.gov.uk/water-quality/id/ea-subarea/2-30-0|http://environment.data.gov.uk/water-quality/id/ea-subarea/2-30-A|http://environment.data.gov.uk/water-quality/id/ea-subarea/2-30-B,"EAST AREA DEFAULT|DERBYSHIRE, DERWENT AND EREWASH|ALL SUB AREAS EAST|DUKERIES AND THE TRENT|LEICESTER AND SOUTH NOTTINGHAMSHIRE"
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/3-34,Yorkshire,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,3-34,V,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/3-34-H|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-34-9|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-34-Z|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-34-T|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-34-U|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-34-V|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-34-A|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-34-S|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-34-M|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-34-N,"SWALE, URE, NIDD, OUSE|DON, ROTHER|ESK, DERWENT, HULL|AIRE, CALDER, WHARFE|GROUNDWATER - YORKSHIRE AREA|ECMAS SAMPLING (YORKSHIRE AREA)|UNKNOWN-YORKSHIRE AREA|H&T BOREHOLE DIP SITE|ALL SUB AREAS - YORKSHIRE AREA|MARINE - YORKSHIRE AREA"
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,Solent and South Downs,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,10-39,G,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-Z|http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-J|http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-9|http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K|http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-H,L&W WEST - SSD|ECMAS SAMPLING (SOLENT AND SOUTH DOWNS)|L&W WEST HAMPSHIRE - SSD|SOLENT & SOUTH DOWNS DEFAULT - SUB AREA UNKNOWN|L&W EAST - SSD|L&W SOUTH - SSD
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/2-29,Staffordshire Warwickshire and West Midlands,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,2-29,5,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/2-29-C|http://environment.data.gov.uk/water-quality/id/ea-subarea/2-29-A|http://environment.data.gov.uk/water-quality/id/ea-subarea/2-29-B|http://environment.data.gov.uk/water-quality/id/ea-subarea/2-29-0,UPPER TRENT AND TAME|SWWM AREA DEFAULT|ALL SUB AREAS SWWM|AVON & LOWER SEVERN (5)
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,Cumbria and Lancashire,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,4-11,1,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-9|http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-G|http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-D|http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-Z|http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B,MORECOMBE BAY|RIBBLE / DOUGLAS|Unknown|ECMAS SAMPLING (CUMBRIA AND LANCASHIRE)|NORTH CUMBRIA
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-3,Lincolnshire and Northamptonshire,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,1-3,M,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-A|http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-9|http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-C|http://environment.data.gov.uk/water-quality/id/ea-subarea/1-3-Z,NORTH & SOUTH TEAM SUB AREA|UNKNOWN (NORTHERN)|ALL NORTHERN SUB AREAS|ECMAS SAMPLING (NORTHERN)
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-37,West Thames,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,10-37,I,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/10-37-N|http://environment.data.gov.uk/water-quality/id/ea-subarea/10-37-L|http://environment.data.gov.uk/water-quality/id/ea-subarea/10-37-9|http://environment.data.gov.uk/water-quality/id/ea-subarea/10-37-A,ECMAS SAMPLING (WEST THAMES)|ALL SUB-AREAS -WT|L&W NORTH - WT|L&W SOUTH - WT
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/2-31,Shropshire Herefordshire Worcestershire and Gloucestershire,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,2-31,4,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/2-31-B|http://environment.data.gov.uk/water-quality/id/ea-subarea/2-31-C|http://environment.data.gov.uk/water-quality/id/ea-subarea/2-31-0|http://environment.data.gov.uk/water-quality/id/ea-subarea/2-31-A|http://environment.data.gov.uk/water-quality/id/ea-subarea/2-31-9,ALL SUB AREAS SHWG|AVON & LOWER SEVERN (4)|SHROPSHIRE & WYE|ECMAS SAMPLING (SHWG)|SHWG AREA DEFAULT
http://environment.data.gov.uk/water-quality/id/ea-area/R,Regional,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,R,R,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/R-P|http://environment.data.gov.uk/water-quality/id/ea-subarea/R-R|http://environment.data.gov.uk/water-quality/id/ea-subarea/R-L|http://environment.data.gov.uk/water-quality/id/ea-subarea/R-M|http://environment.data.gov.uk/water-quality/id/ea-subarea/R-G|http://environment.data.gov.uk/water-quality/id/ea-subarea/R-D|http://environment.data.gov.uk/water-quality/id/ea-subarea/R-E|http://environment.data.gov.uk/water-quality/id/ea-subarea/R-B|http://environment.data.gov.uk/water-quality/id/ea-subarea/R-A|http://environment.data.gov.uk/water-quality/id/ea-subarea/R-W|http://environment.data.gov.uk/water-quality/id/ea-subarea/R-Z|http://environment.data.gov.uk/water-quality/id/ea-subarea/R-9|http://environment.data.gov.uk/water-quality/id/ea-subarea/R-S,South Cumbria (R)|Marine|CHESHIRE (R)|ALL SUB AREAS|SUB AREA UNKNOWN|UNKNOWN REGIONAL|NORTH CUMBRIA (R)|LUNE / WYRE (R)|MANCHESTER (R)|MERSEYSIDE (R)|RIBBLE / DOUGLAS (R)|ECMAS SAMPLING (REGIONAL)|ALL AREAS
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/1-1,Cambridgeshire and Bedfordshire,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,1-1,L,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-O|http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-Y|http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-9|http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-A|http://environment.data.gov.uk/water-quality/id/ea-subarea/1-1-S,UNKNOWN (CENTRAL)|BRAMPTON TEAM SUB AREA|ECMAS SAMPLING (CENTRAL)|ELY TEAM SUB AREA|ALL CENTRAL SUB AREAS
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/6-27,Devon and Cornwall,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,6-27,A,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/6-27-9|http://environment.data.gov.uk/water-quality/id/ea-subarea/6-27-A|http://environment.data.gov.uk/water-quality/id/ea-subarea/6-27-1|http://environment.data.gov.uk/water-quality/id/ea-subarea/6-27-2|http://environment.data.gov.uk/water-quality/id/ea-subarea/6-27-Z|http://environment.data.gov.uk/water-quality/id/ea-subarea/6-27-3,CENTRAL DEVON AND CORNWALL|ALL CORNWALL AREAS|ECMAS SAMPLING (DEVON AND CORNWALL)|WEST DEVON AND CORNWALL|DEVON AND CORNWALL DEFAULT|EAST DEVON AND CORNWALL
http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/3-35,Northumberland Durham and Tees,http://environment.data.gov.uk/water-quality/def/ea-org/Area|http://www.w3.org/ns/org#Organization,3-35,X,"",http://environment.data.gov.uk/water-quality/id/ea-subarea/3-35-G|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-35-H|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-35-9|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-35-I|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-35-Z|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-35-F|http://environment.data.gov.uk/water-quality/id/ea-subarea/3-35-A,ALL SUB AREAS - NORTH EAST AREA|WEAR & TEES|NORTHUMBERLAND & TYNE|GROUNDWATER - NORTH EAST AREA|UNKNOWN-NORTH EAST AREA|ECMAS SAMPLING (NORTH EAST AREA)|MARINE - NORTH EAST AREA
